question,answer
"What products do you offer?","We offer a variety of Gujarati snacks including fafda, thepla, and khakhra."
"What ingredients are used in fafda?","The main ingredients in fafda are gram flour, carom seeds, and turmeric."
"How do you deliver the products?","We deliver the products via local courier services within 3-5 business days."
"What are the prices of your products?","The prices of our products range from INR 50 to INR 200 per pack."
"Do you offer discounts?","Yes, we offer discounts on bulk orders and during festive seasons."
"Can I customize my order?","Yes, you can customize your order by specifying your preferences while placing the order."
"Are your products gluten-free?","Most of our products are gluten-free. Please check the product description for details."
"Do you use preservatives?","No, we do not use any artificial preservatives in our products."
"Where are you located?","We are based in Ahmedabad, Gujarat."
"What is your return policy?","We accept returns within 7 days of delivery if the product is unopened and in its original condition."
"How can I contact customer support?","You can contact our customer support via email at support@example.com or call us at +91-1234567890."
"What payment methods do you accept?","We accept all major credit/debit cards, UPI, and net banking."
"Do you ship internationally?","Currently, we only ship within India."
"Can I track my order?","Yes, you will receive a tracking number once your order is shipped."
"How can I provide feedback?","You can provide feedback through our website or email us at feedback@example.com."
